"24,25,33,42,57,89 | SS: 68",
"8,36,40,45,67,79 | SS: 40",
"36,38,54,56,75,85 | SS: 32",
"7,15,16,21,37,60 | SS: 58",
"3,6,12,20,69,83 | SS: 52",
"1,11,20,66,69,88 | SS: 3",
"2,3,64,69,73,82 | SS: 58",
"14,30,33,35,58,76 | SS: 77",
"32,38,55,58,66,85 | SS: 38",
"25,46,48,52,57,81 | SS: 6",
"23,33,78,79,87,88 | SS: 90",
"10,36,63,75,79,85 | SS: 44",
"7,8,13,17,38,43 | SS: 59",
"1,44,67,77,88,90 | SS: 31",
"13,19,32,39,44,61 | SS: 18",
"5,31,62,63,68,78 | SS: 47",
"1,16,17,31,42,70 | SS: 51",
"7,21,36,38,77,79 | SS: 18",
"17,39,40,75,76,88 | SS: 86",
"1,9,13,29,71,83 | SS: 41",
"59,66,69,72,73,80 | SS: 53",
"5,19,20,26,53,54 | SS: 23",
"1,14,17,47,61,66 | SS: 53",
"12,42,44,46,52,86 | SS: 34",
"29,32,39,43,66,73 | SS: 6",
"1,2,26,41,65,80 | SS: 27",
"2,10,35,67,77,90 | SS: 80",
"15,42,65,68,70,90 | SS: 40",
"6,15,45,47,69,70 | SS: 18",
"3,20,47,52,83,90 | SS: 22",
"4,24,30,61,66,69 | SS: 24",
"19,23,39,54,79,87 | SS: 43",
"8,24,52,73,84,86 | SS: 11",
"32,45,69,77,83,87 | SS: 3",
"14,42,53,68,83,89 | SS: 78",
"1,35,51,56,68,79 | SS: 7",
"27,33,44,56,63,85 | SS: 40",
"23,31,62,65,69,89 | SS: 46",
"21,30,33,45,62,70 | SS: 3",
"18,62,64,69,75,81 | SS: 6",
"43,56,61,62,73,81 | SS: 73",
"20,22,36,68,81,87 | SS: 55",
"8,38,47,63,71,84 | SS: 36",
"12,38,65,72,83,84 | SS: 61",
"16,24,51,55,59,66 | SS: 52",
"41,46,64,71,84,87 | SS: 22",
"21,29,50,55,67,73 | SS: 85",
"34,39,57,62,79,83 | SS: 3",
"30,37,41,62,65,68 | SS: 64",
"14,19,44,52,60,71 | SS: 18",
"16,24,37,38,69,78 | SS: 4",
"1,25,60,67,87,88 | SS: 14",
"11,27,45,53,55,58 | SS: 85",
"8,46,49,55,80,87 | SS: 67",
"4,23,25,30,34,57 | SS: 70",
"6,18,36,75,81,83 | SS: 75",
"19,48,49,56,60,88 | SS: 56",
"1,35,37,39,57,84 | SS: 31",
"5,6,9,51,62,66 | SS: 3",
"9,16,22,25,26,70 | SS: 63",
"9,31,32,47,70,89 | SS: 5",
"3,4,19,39,73,78 | SS: 5",
"15,23,59,65,78,82 | SS: 79",
"10,30,57,64,72,75 | SS: 3",
"7,17,30,56,68,80 | SS: 28",
"10,20,24,38,49,87 | SS: 48",
"4,52,68,79,85,86 | SS: 68",
"10,14,18,22,48,68 | SS: 24",
"2,23,46,48,55,63 | SS: 83",
"8,11,17,20,21,80 | SS: 35",
"8,23,48,49,61,62 | SS: 54",
"3,17,33,51,77,87 | SS: 42",
"3,20,21,43,69,70 | SS: 11",
"7,9,17,51,57,78 | SS: 20",
"18,37,49,71,76,78 | SS: 35",
"12,41,42,44,80,86 | SS: 46",
"7,21,58,65,72,77 | SS: 23",
"2,24,51,55,62,81 | SS: 27",
"11,17,20,36,57,72 | SS: 89",
"1,10,26,62,71,90 | SS: 32",
"3,6,7,30,67,89 | SS: 7",
"7,19,39,42,56,57 | SS: 73",
"22,39,54,63,68,73 | SS: 15",
"29,31,51,60,72,73 | SS: 50",
"11,31,44,64,83,89 | SS: 37",
"13,18,32,46,55,78 | SS: 66",
"16,29,38,62,72,84 | SS: 28",
"6,39,50,52,54,88 | SS: 49",
"1,2,33,62,68,79 | SS: 21",
"4,9,69,74,76,85 | SS: 11",
"18,28,40,63,68,86 | SS: 68",
"1,18,30,34,65,75 | SS: 45",
"2,51,55,57,61,82 | SS: 60",
"26,37,53,81,86,90 | SS: 60",
"2,22,28,39,61,79 | SS: 23",
"17,41,42,43,66,76 | SS: 46",
"6,19,30,53,55,76 | SS: 70",
"3,10,40,54,69,85 | SS: 13",
"33,37,48,65,83,84 | SS: 88",
"5,13,28,30,42,63 | SS: 66",
"9,12,28,71,82,85 | SS: 1",
"12,20,22,39,55,72 | SS: 52",
"25,31,43,61,63,86 | SS: 39",
"28,29,33,35,65,80 | SS: 7",
"6,10,13,17,22,46 | SS: 85",
"3,14,30,50,66,87 | SS: 48",
"29,31,35,49,69,74 | SS: 28",
"6,13,19,37,67,72 | SS: 1",
"12,26,70,74,84,87 | SS: 11",
"16,38,40,69,84,90 | SS: 14",
"20,39,56,64,66,85 | SS: 17",
"16,30,68,75,83,86 | SS: 25",
"17,23,30,74,81,84 | SS: 49",
"23,25,30,44,51,68 | SS: 21",
"8,9,52,77,82,86 | SS: 8",
"12,50,55,62,67,88 | SS: 1",
"4,15,21,35,59,73 | SS: 76",
"10,23,31,35,61,87 | SS: 15",
"7,18,19,56,66,71 | SS: 20",
"18,28,33,41,63,84 | SS: 41",
"15,17,25,31,85,87 | SS: 57",
"1,23,30,60,70,74 | SS: 21",
"7,14,26,34,45,77 | SS: 34",
"18,33,61,70,81,90 | SS: 80",
"22,28,75,78,83,87 | SS: 84",
"30,32,49,68,71,85 | SS: 9",
"2,3,13,23,30,70 | SS: 72",
"8,16,33,64,68,82 | SS: 44",
"4,18,30,69,73,74 | SS: 52",
"16,17,52,60,80,81 | SS: 52",
"2,18,35,53,60,66 | SS: 45",
"27,43,46,51,52,72 | SS: 32",
"11,13,25,62,76,80 | SS: 54",
"2,11,40,60,73,82 | SS: 50",
"2,5,6,56,58,73 | SS: 38",
"23,30,33,67,69,71 | SS: 56",
"12,32,54,63,64,85 | SS: 77",
"1,16,32,51,60,61 | SS: 11",
"4,12,21,39,59,83 | SS: 63",
"41,51,61,66,75,88 | SS: 71",
"50,61,62,71,72,74 | SS: 9",
"7,32,49,55,61,83 | SS: 82",
"27,36,38,41,71,84 | SS: 37",
"5,37,38,59,71,80 | SS: 33",
"30,37,47,72,85,87 | SS: 34",
"8,36,75,76,79,83 | SS: 58",
"11,34,46,58,77,82 | SS: 27",
"1,17,33,34,46,62 | SS: 17",
"5,9,53,57,61,84 | SS: 2",
"9,37,40,61,69,84 | SS: 36",
"29,51,52,62,72,79 | SS: 43",
"12,21,49,51,56,74 | SS: 76",
"34,54,72,76,79,85 | SS: 10",
"5,34,55,58,74,90 | SS: 33",
"2,25,28,31,46,59 | SS: 25",
"8,14,36,71,74,87 | SS: 29",
"22,29,30,32,41,52 | SS: 7",
"18,54,62,80,88,90 | SS: 58",
"36,43,47,49,84,89 | SS: 25",
"56,64,72,81,83,86 | SS: 25",
"28,33,42,54,76,79 | SS: 62",
"36,38,40,51,53,71 | SS: 58",
"8,38,39,52,64,70 | SS: 39",
"7,71,72,75,80,90 | SS: 55",
"8,29,33,47,52,56 | SS: 19",
"1,4,25,44,82,89 | SS: 50",
"28,33,39,40,80,89 | SS: 12",
"7,31,38,57,84,87 | SS: 71",
"8,53,65,66,80,87 | SS: 20",
"40,42,57,62,67,88 | SS: 49",
"22,63,66,73,81,90 | SS: 43",
"6,16,28,32,43,90 | SS: 27",
"7,10,50,51,80,85 | SS: 46",
"7,30,40,58,75,79 | SS: 78",
"8,16,39,63,84,86 | SS: 48",
"2,26,30,32,63,89 | SS: 82",
"13,22,40,41,51,86 | SS: 26",
"10,26,53,66,70,78 | SS: 64",
"4,62,67,69,70,84 | SS: 31",
"10,15,17,57,65,80 | SS: 47",
"3,6,20,46,50,80 | SS: 2",
"8,11,14,39,46,51 | SS: 2",
"18,31,47,59,75,80 | SS: 73",
"8,16,42,64,72,74 | SS: 74",
"13,25,54,56,57,58 | SS: 15",
"4,12,35,61,66,84 | SS: 75",
"6,19,25,42,48,52 | SS: 57",
"1,38,54,63,66,74 | SS: 22",
"19,32,41,42,64,65 | SS: 81",
"9,69,70,72,77,81 | SS: 1",
"1,26,49,74,82,87 | SS: 74",
"11,22,39,52,55,63 | SS: 6",
"16,26,31,67,74,82 | SS: 74",
"21,40,57,60,61,68 | SS: 68",
"8,28,34,63,86,90 | SS: 89",
"4,33,34,44,52,63 | SS: 53",
"35,49,56,78,87,90 | SS: 59",
"15,17,25,39,57,58 | SS: 18",
"6,44,66,68,77,86 | SS: 17",
"14,28,37,47,53,57 | SS: 23",
"20,67,71,81,84,88 | SS: 27",
"35,49,68,71,82,85 | SS: 48",
"1,30,36,37,60,88 | SS: 28",
"19,30,52,66,70,82 | SS: 33",
"2,11,21,23,39,47 | SS: 31",
"12,24,26,50,65,69 | SS: 51",
"8,19,30,32,52,75 | SS: 79",
"7,10,35,64,77,89 | SS: 83",
"5,7,13,33,66,79 | SS: 27",
"2,4,11,37,62,75 | SS: 25",
"21,31,37,64,75,88 | SS: 27",
"7,23,28,50,80,87 | SS: 63",
"18,19,36,39,58,88 | SS: 16",
"24,26,33,36,38,73 | SS: 29",
"6,29,30,78,81,88 | SS: 27",
"1,6,11,27,65,80 | SS: 39",
"2,22,33,42,52,71 | SS: 86",
"1,3,20,43,51,78 | SS: 83",
"27,31,35,53,54,78 | SS: 27",
"28,38,41,58,67,80 | SS: 79",
"21,30,32,41,47,67 | SS: 24",
"15,18,21,57,59,61 | SS: 56",
"7,12,36,73,77,85 | SS: 80",
"8,22,31,39,58,63 | SS: 48",
"25,51,53,72,77,81 | SS: 19",
"3,16,20,55,60,80 | SS: 10",
"5,34,43,53,71,78 | SS: 28",
"2,41,59,68,74,86 | SS: 56",
"31,58,80,81,88,89 | SS: 79",
"16,21,24,60,66,79 | SS: 44",
"4,19,20,24,44,55 | SS: 80",
"7,9,35,61,67,68 | SS: 26",
"11,14,43,46,61,70 | SS: 73",
"1,20,22,23,61,82 | SS: 58",
"8,25,33,48,58,90 | SS: 63",
"4,47,76,78,81,86 | SS: 49",
"7,20,21,74,75,81 | SS: 10",
"13,16,28,32,71,85 | SS: 67",
"5,9,50,80,82,88 | SS: 18",
"2,25,26,41,55,75 | SS: 15",
"16,21,33,42,52,66 | SS: 75",
"6,28,32,39,57,85 | SS: 51",
"24,26,31,39,49,81 | SS: 29",
"3,31,33,37,52,54 | SS: 42",
"6,10,22,48,61,65 | SS: 70",
"15,17,24,31,80,86 | SS: 48",
"5,7,13,40,52,84 | SS: 21",
"3,4,7,44,52,89 | SS: 46",
"25,39,43,46,59,67 | SS: 72",
"7,30,45,50,55,74 | SS: 17",
"19,48,61,73,81,83 | SS: 73",
"27,28,46,48,52,70 | SS: 60",
"2,3,22,46,61,80 | SS: 68",
"8,9,17,33,80,86 | SS: 6",
"17,44,49,60,66,81 | SS: 34",
"30,46,54,56,72,86 | SS: 85",
"1,38,47,50,58,65 | SS: 45",
"40,60,68,72,84,89 | SS: 65",
"28,32,45,61,63,76 | SS: 11",
"17,20,48,62,85,90 | SS: 39",
"9,26,29,31,58,70 | SS: 43",
"12,14,29,48,49,85 | SS: 14",
"30,45,66,69,75,80 | SS: 52",
"17,32,33,50,61,82 | SS: 56",
"8,25,31,65,87,90 | SS: 1",
"23,32,38,40,51,71 | SS: 52",
"16,19,29,34,48,64 | SS: 34",
"17,24,25,40,58,64 | SS: 51",
"14,31,35,40,50,66 | SS: 16",
"14,23,24,41,71,73 | SS: 33",
"2,15,35,54,60,78 | SS: 64",
"9,14,21,55,66,90 | SS: 28",
"8,15,24,25,44,55 | SS: 76",
"13,17,25,55,64,85 | SS: 36",
"19,35,49,52,75,79 | SS: 7",
"1,2,40,52,67,82 | SS: 78",
"2,4,13,23,28,68 | SS: 13",
"20,31,44,51,65,74 | SS: 66",
"27,32,55,65,76,86 | SS: 51",
"1,3,8,38,83,88 | SS: 85",
"11,13,17,49,51,61 | SS: 13",
"7,18,27,33,35,43 | SS: 56",
"8,23,58,61,76,79 | SS: 71",
"11,18,47,80,89,90 | SS: 9",
"3,24,31,32,61,85 | SS: 4",
"7,32,43,50,68,73 | SS: 13",
"17,20,63,78,82,85 | SS: 78",
"28,30,32,33,34,52 | SS: 17",
"6,39,40,41,50,54 | SS: 34",
"33,38,47,67,68,81 | SS: 90",
"10,19,25,35,51,73 | SS: 56",
"6,26,56,65,69,82 | SS: 14",
"20,39,42,45,74,77 | SS: 12",
"29,36,37,40,70,75 | SS: 40",
"4,14,45,53,77,84 | SS: 57",
"33,57,63,65,78,88 | SS: 79",
"2,10,19,36,78,90 | SS: 6",
"10,15,46,51,65,75 | SS: 17",
"3,38,44,50,53,70 | SS: 64",
"1,39,40,52,54,64 | SS: 38",
"4,39,43,59,74,90 | SS: 26",
"1,9,11,21,36,47 | SS: 20",
"13,21,70,71,72,85 | SS: 12",
"1,10,55,61,72,77 | SS: 75",
"2,4,16,20,29,53 | SS: 16",
"3,12,16,30,84,89 | SS: 3",
"2,3,4,27,34,42 | SS: 55",
"3,37,54,65,87,89 | SS: 16",
"2,23,36,62,75,79 | SS: 21",
"6,34,59,61,83,90 | SS: 60",
"2,5,20,43,64,83 | SS: 4",
"3,9,17,38,54,62 | SS: 28",
"20,46,48,62,71,86 | SS: 80",
"19,22,26,59,61,71 | SS: 88",
"24,29,40,71,74,78 | SS: 57",
"7,40,54,64,69,71 | SS: 70",
"11,12,32,55,72,87 | SS: 36",
"28,64,65,77,85,89 | SS: 22",
"2,25,31,38,45,84 | SS: 62",
"7,12,19,43,71,77 | SS: 36",
"31,43,67,69,76,80 | SS: 67",
"9,11,40,48,68,84 | SS: 47",
"4,9,22,23,47,73 | SS: 2",
"1,22,41,69,73,89 | SS: 54",
"39,50,55,57,78,82 | SS: 52",
"36,55,62,66,81,85 | SS: 33",
"11,14,17,24,39,48 | SS: 15",
"9,25,29,43,48,54 | SS: 12",
"6,33,35,64,66,77 | SS: 50",
"5,27,37,63,67,77 | SS: 49",
"1,13,17,31,58,62 | SS: 2",
"32,33,37,43,44,79 | SS: 71",
"7,57,60,67,69,90 | SS: 22",
"8,14,16,18,56,60 | SS: 20",
"14,17,39,47,58,85 | SS: 45",
"4,10,24,59,72,83 | SS: 15",
"8,19,25,73,76,84 | SS: 78",
"6,14,39,47,63,82 | SS: 61",
"15,27,31,52,74,77 | SS: 46",
"1,7,38,58,62,78 | SS: 74",
"2,3,37,38,58,59 | SS: 53",
"23,36,38,52,62,63 | SS: 81",
"29,56,66,77,88,89 | SS: 39",
"12,19,24,51,56,78 | SS: 87",
"12,13,38,46,47,72 | SS: 17",
"6,35,53,67,75,89 | SS: 66",
"41,44,55,56,68,79 | SS: 17",
"7,29,57,60,79,87 | SS: 11",
"8,21,32,33,60,69 | SS: 64",
"33,35,47,51,62,89 | SS: 74",
"6,35,38,48,58,76 | SS: 79",
"4,32,34,56,61,82 | SS: 6",
"27,32,40,49,75,82 | SS: 84",
"9,12,60,69,72,89 | SS: 80",
"7,35,36,41,45,88 | SS: 46",
"1,21,29,40,63,70 | SS: 26",
"2,68,77,81,83,84 | SS: 7",
"17,21,23,31,33,37 | SS: 51",
"4,8,51,72,74,88 | SS: 41",
"40,41,49,56,61,63 | SS: 67",
"24,51,58,61,74,77 | SS: 20",
"26,29,40,50,54,72 | SS: 85",
"11,29,56,63,88,90 | SS: 8",
"4,10,27,28,34,57 | SS: 58",
"2,19,43,49,77,82 | SS: 7",
"2,16,38,67,70,84 | SS: 44",
"10,11,27,45,79,88 | SS: 63",
"4,5,22,48,53,86 | SS: 10",
"15,20,36,69,74,87 | SS: 53",
"15,19,26,34,67,69 | SS: 77",
"12,14,19,38,41,45 | SS: 28",
"18,54,56,58,62,66 | SS: 45",
"15,31,39,49,64,85 | SS: 44",
"6,13,41,71,75,86 | SS: 36",
"17,39,41,47,77,83 | SS: 34",
"5,21,26,45,47,49 | SS: 29",
"26,60,61,72,85,88 | SS: 54",
"19,32,34,63,74,89 | SS: 85",
"4,8,20,21,44,80 | SS: 18",
"17,40,50,73,74,82 | SS: 28",
"5,9,25,30,76,81 | SS: 68",
"34,69,70,73,82,90 | SS: 77",
"10,22,24,45,67,76 | SS: 48",
"4,19,34,52,68,77 | SS: 47",
"28,38,59,60,71,83 | SS: 33",
"23,24,49,69,70,72 | SS: 4",
"1,12,17,65,70,90 | SS: 9",
"9,33,34,52,82,83 | SS: 16",
"5,11,40,43,56,82 | SS: 23",
"3,29,51,55,73,81 | SS: 23",
"8,24,45,47,72,84 | SS: 27",
"41,47,49,55,77,90 | SS: 75",
"29,33,34,64,65,87 | SS: 42",
"6,26,37,38,55,73 | SS: 63",
"38,43,44,45,63,77 | SS: 49",
"29,37,42,52,54,59 | SS: 18",
"13,16,41,49,58,76 | SS: 23",
"22,35,44,66,71,88 | SS: 44",
"12,20,28,57,74,85 | SS: 6",
"9,11,70,74,75,84 | SS: 7",
"24,32,56,59,76,81 | SS: 85",
"37,43,49,66,73,88 | SS: 82",
"15,27,31,40,63,82 | SS: 88",
"16,25,28,30,39,51 | SS: 51",
"1,35,42,55,57,62 | SS: 14",
"36,37,50,57,73,83 | SS: 19",
"19,47,69,71,86,87 | SS: 49",
"26,31,32,50,61,77 | SS: 51",
"3,42,52,67,78,86 | SS: 44",
"21,25,36,51,82,90 | SS: 66",
"19,30,34,49,54,74 | SS: 16",
"20,63,66,74,75,77 | SS: 58",
"9,30,50,57,62,70 | SS: 41",
"33,36,39,50,65,70 | SS: 5",
"10,16,40,55,66,77 | SS: 47",
"1,4,48,53,61,85 | SS: 84",
"1,23,32,53,66,83 | SS: 21",
"9,15,17,34,73,83 | SS: 15",
"6,13,17,52,64,82 | SS: 35",
"5,25,37,52,62,79 | SS: 77",
"34,36,61,62,78,88 | SS: 20",
"11,16,21,62,70,84 | SS: 4",
"40,41,45,51,52,79 | SS: 76",
"10,23,47,63,70,81 | SS: 51",
"44,48,49,68,86,87 | SS: 84",
"13,24,26,34,76,77 | SS: 75",
"1,30,32,45,69,83 | SS: 89",
"26,27,39,55,59,63 | SS: 57",
"4,24,47,66,74,77 | SS: 50",
"14,18,32,33,46,88 | SS: 62",
"5,18,55,59,65,74 | SS: 20",
"11,21,53,62,63,68 | SS: 85",
"2,23,24,70,81,90 | SS: 27",
"6,15,18,23,53,62 | SS: 74",
"21,23,25,27,36,84 | SS: 80",
"4,17,52,55,56,67 | SS: 13",
"8,26,32,40,62,88 | SS: 18",
"11,25,36,49,53,85 | SS: 49",
"24,40,43,51,53,88 | SS: 68",
"20,22,24,40,51,80 | SS: 82",
"4,19,32,58,73,87 | SS: 35",
"1,14,26,49,71,89 | SS: 4",
"46,48,63,68,83,85 | SS: 29",
"7,34,49,51,58,86 | SS: 83",
"19,26,63,67,68,83 | SS: 5",
"12,30,35,44,49,62 | SS: 30",
"1,64,67,68,79,90 | SS: 25",
"13,43,47,55,67,70 | SS: 71",
"4,5,18,35,40,90 | SS: 18",
"17,24,34,48,61,87 | SS: 75",
"16,21,30,35,57,78 | SS: 38",
"26,28,48,52,55,90 | SS: 49",
"7,8,25,46,65,78 | SS: 45",
"8,9,11,14,79,90 | SS: 90",
"6,15,21,27,49,85 | SS: 81",
"4,5,29,58,71,84 | SS: 35",
"4,18,26,47,61,80 | SS: 15",
"20,29,44,54,64,69 | SS: 59",
"6,50,67,69,77,88 | SS: 75",
"44,45,58,65,66,85 | SS: 35",
"8,30,64,69,80,88 | SS: 5",
"23,25,37,38,50,86 | SS: 31",
"2,16,19,47,49,57 | SS: 23",
"1,30,67,68,71,80 | SS: 84",
"7,29,36,50,56,75 | SS: 51",
"6,31,58,64,74,82 | SS: 36",
"33,42,46,55,69,90 | SS: 45",
"34,37,38,39,59,90 | SS: 86",
"30,54,66,67,76,90 | SS: 5",
"4,14,40,41,54,79 | SS: 55",
"6,25,29,44,68,74 | SS: 88",
"6,7,45,46,67,85 | SS: 21",
"4,26,28,59,61,68 | SS: 42",
"31,38,49,54,62,76 | SS: 87",
"19,33,45,55,82,84 | SS: 2",
"5,15,23,39,43,49 | SS: 87",
"2,4,25,34,61,66 | SS: 87",
"18,26,45,67,70,90 | SS: 55",
"13,28,39,45,68,81 | SS: 40",
"19,29,37,46,64,75 | SS: 4",
"22,32,34,70,78,90 | SS: 73",
"50,55,57,62,78,83 | SS: 29",
"19,38,48,54,71,84 | SS: 31",
"31,32,57,59,78,79 | SS: 73",
"6,34,43,60,71,73 | SS: 71",
"9,39,49,64,65,72 | SS: 7",
"22,68,75,83,85,89 | SS: 72",
"3,15,46,67,75,78 | SS: 51",
"30,38,46,47,62,67 | SS: 63",
"1,6,13,24,46,89 | SS: 86",
"24,33,54,69,79,86 | SS: 41",
"16,19,48,51,65,85 | SS: 58",
"16,27,43,46,62,85 | SS: 62",
"48,54,64,75,79,87 | SS: 35",
"20,46,50,52,69,86 | SS: 20",
"3,8,10,22,32,50 | SS: 63",
"9,19,54,73,83,90 | SS: 42",
"12,18,49,51,66,69 | SS: 77",
